PLACEKEY,N,adjN
222-222@8g6-x46-7dv,1829.8491493718604,31395.258575718697
222-222@8g6-yjn-7wk,502.7835148767673,9900.173365398216
222-222@8g6-yjn-975,292.4814912790745,5044.102548368815
222-222@8g6-yjr-kvf,46.099999999999994,800.1960258152676
222-222@8g6-yjr-mzf,78.32833224614046,1390.454331421813
222-222@8g6-yjr-vpv,5.0,94.38594224924012
222-222@8g6-yjt-vvf,1083.4954871913665,18123.667528080172
222-222@8g6-yjv-5zz,402.40905604960426,7337.181611501427
222-222@8g6-yjv-9mk,291.3388939232586,4411.542170492048
222-222@8g6-yjv-pd9,2737.1902692338826,52611.89028582513
222-222@8g6-yjw-8qf,164.5405998640535,3477.8928017565286
222-222@8g6-yjw-brk,8.0,131.08910891089107
222-222@8g6-yjw-ckf,122.60645933014354,2134.3181459545267
222-222@8g6-yjw-vzz,256.65600541115083,5585.531495175483
222-222@8g6-yjw-w49,19.883116883116884,383.57408755039836
222-222@8g6-yjw-wrk,63.945194340543175,1214.3297732257104
222-222@8g6-yjx-brk,736.4997088561885,13915.71715687622
222-222@8g6-yjx-cdv,242.7278735632184,4243.461594119114
222-222@8g6-yjx-dn5,228.3580045577553,4035.8349748374317
222-222@8g6-yjx-fj9,436.6135629845835,9295.66884667221
222-222@8g6-yjx-qcq,1411.348725955652,28528.613295743806
222-222@8g6-yjx-r6k,69.79168831168832,1398.052041668914
222-222@8g6-yjx-s89,1947.2468308091375,33392.541488898176
222-222@8g6-yjx-sh5,1066.2248232961504,20290.526485071838
222-222@8g6-yjx-wrk,61.07073649242324,1095.906110166148
222-222@8g6-yjx-x3q,5.302857142857143,88.38117715472987
222-222@8g6-yjx-x5z,706.1312057841338,14310.229717961327
222-222@8g6-yjx-xqz,251.63196172248803,4599.030333832302
222-222@8g6-yjx-xt9,1242.1060676103584,21357.891238162425
222-222@8g6-yjx-yjv,543.8603521703521,10883.307116919475
222-222@8g6-yjx-zs5,66.22025364194039,1156.6853175362132
222-222@8g6-yjy-28v,30331.386917642812,561523.9738398615
222-222@8g6-yjy-2hq,174.1504085121416,3060.9739746005375
222-222@8g6-yjy-8sq,56.8374840357599,908.1835362385123
222-222@8g6-yjy-9pv,20.70470588235294,344.052055380026
222-222@8g6-yjy-ch5,300.65566580385394,5198.019630085609
222-222@8g6-yjy-rtv,1389.024820714307,23738.300651319587
222-222@8g6-ykw-rzf,130.45053448424235,2331.919234734021
222-222@8g6-ykw-sbk,39.67321936046902,827.2554014314751
222-222@8g6-ykw-skf,111.96183289290872,2229.795112722642
222-222@8g6-ykw-st9,4.690476190476191,67.79650208404705
222-222@8g6-ykw-v2k,229.3832899531494,4392.2732627164905
222-222@8g6-ykw-vcq,189.50157685451805,3669.2194640484213
222-222@8g6-ykw-vmk,159.43493914673425,3121.440006826258
222-222@8g6-ykw-vs5,88.34447751296645,1735.4993243870285
222-222@8g6-ykx-jgk,1618.7509411531603,32670.726659184
222-222@8g6-ykx-kmk,29.975155279503102,525.7981537193157
222-222@8g6-ykz-6p9,91.7257717611336,1510.483116701194
222-222@8g6-ykz-7qz,61.12132478312582,1108.0958334257036
222-222@8g6-ykz-835,44.20692141312185,965.991148587725
222-222@8g6-ykz-8d9,18.928947368421053,414.15461975422306
222-222@8g6-ykz-975,107.18119658119659,2116.580700844246
222-222@8g6-ykz-9fz,42.983190196899876,731.8470379951631
222-222@8g6-ykz-9mk,417.19418588578054,8206.151005517799
222-222@8g6-ykz-9xq,49.4,1089.6599894363467
222-222@8g6-ykz-b6k,402.27221355887406,7743.010622607351
222-222@8g6-ykz-bc5,54.45759552656104,1117.0044109709565
222-222@8g6-ym3-syv,1735.0909060091694,27444.655930304234
222-222@8g6-ym3-tvz,59.05281723824557,1011.5528610930353
222-222@8g6-ym3-vvf,87.77102295391087,1809.459117393117
222-222@8g6-ym3-vxq,1938.262712178616,35456.55567665764
222-222@8g6-ym3-wff,124.50559706402352,2406.7135878495533
222-222@8g6-ym3-x3q,253.56409066872368,4042.7234485439635
222-222@8g6-ym3-xyv,8802.882976494315,169631.89897194324
222-222@8g6-ym6-p35,279.5185205346464,5131.9680435984155
222-222@8g6-ym6-pjv,1112.2526582663859,20976.51994465147
222-222@8g6-ymh-mzf,198.80304232804232,3406.8418150650523
222-222@8g7-46m-cyv,4.571428571428571,22.33015873015873
222-222@8g7-46m-h89,449.1579318439144,6781.9635441339615
222-222@8g7-46m-hyv,113.59472998536603,1336.7768223346266
222-222@8g7-46m-j5f,195.5570870147517,2380.46212931696
222-222@8g7-46m-j9z,882.9098009095676,13760.67458673331
222-222@8g7-46m-jn5,1098.7500566706792,15620.557087929485
222-222@8g7-46m-w49,95.8465776510241,1290.19358673035
222-222@8g7-46m-xyv,1776.427796106815,24985.020211467297
