,PLACEKEY,LOCATION_NAME,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,CITY,REGION,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE
0,zzw-23n@8g6-ym3-wkz,Boss Menswear Shop,Clothing Stores,Family Clothing Stores,448140,33.846477,-84.363715,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""22:00""]], ""Sun"": [[""11:00"", ""19:00""]] }","Accessories,Men's Clothing,Sportswear,Watches,Women's Clothing",,,2020-12
1,zzw-225@8g6-yjr-k9f,Pella,Building Material and Supplies Dealers,Home Centers,444110,33.934371,-84.338694,Atlanta,GA,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }","Doors,Window Installation",,,2019-07
2,228-223@8g6-yjr-jn5,Jason's Deli,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.93213,-84.335431,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""22:00""]], ""Tue"": [[""10:00"", ""22:00""]], ""Wed"": [[""10:00"", ""22:00""]], ""Thu"": [[""10:00"", ""22:00""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""22:00""]], ""Sun"": [[""10:00"", ""22:00""]] }","Catering,Counter Service,Deli,Dinner,Lunch,Salad,Sandwich Shop",,,2019-07
3,223-222@8g7-46z-8vz,Eleventh Street Pub,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.783106,-84.387443,Atlanta,GA,"{ ""Mon"": [[""11:00"", ""24:00""]], ""Tue"": [[""0:00"", ""3:00""], [""11:00"", ""24:00""]], ""Wed"": [[""0:00"", ""3:00""], [""11:00"", ""24:00""]], ""Thu"": [[""0:00"", ""3:00""], [""11:00"", ""24:00""]], ""Fri"": [[""0:00"", ""3:00""], [""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""11:30"", ""24:00""]], ""Sun"": [[""0:00"", ""3:00""], [""11:30"", ""24:00""]] }","American Food,Bar or Pub,Late Night",,,2019-07
4,222-23t@8g7-47b-kxq,S Y K Jewelry,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,448310,33.761981,-84.389478,Atlanta,GA,,Jewelry,,,2019-07
5,225-223@8g6-yjx-fcq,Pho 24,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.919314,-84.379235,Sandy Springs,GA,"{ ""Mon"": [[""10:00"", ""20:30""]], ""Tue"": [[""10:00"", ""20:30""]], ""Wed"": [[""10:00"", ""20:30""]], ""Thu"": [], ""Fri"": [[""10:00"", ""20:30""]], ""Sat"": [[""10:00"", ""20:30""]], ""Sun"": [[""10:00"", ""20:30""]] }",Vietnamese Food,,,2019-07
6,222-22j@8g7-46m-zs5,Chick'n Factory,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.754026,-84.379889,Atlanta,GA,"{ ""Mon"": [[""11:00"", ""16:00""]], ""Tue"": [[""11:00"", ""16:00""]], ""Wed"": [[""11:15"", ""16:00""]], ""Thu"": [[""11:00"", ""16:00""]], ""Fri"": [[""11:00"", ""16:00""]], ""Sat"": [[""11:00"", ""16:00""]], ""Sun"": [] }","Salad,Sandwich Shop",,2023-02,2019-07
7,22n-237@8g6-yjv-dqf,L'VegaSpa Esthetics,Personal Care Services,Other Personal Care Services,812199,33.92001,-84.361972,Atlanta,GA,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""14:00""]], ""Sun"": [] }","Body Contouring,Estheticians,Hair Removal,Laser Hair Removal,Massage Therapy,Medical Spa,Skin Care",,,2019-07
8,zzw-226@8g6-yjx-brk,MLP Beauty Studio,Personal Care Services,Other Personal Care Services,812199,33.922373,-84.378478,Atlanta,GA,,"Makeup Artist,Skin Care",,,2019-07
9,22d-22c@8g7-46m-jsq,Cafe Lucia,Health and Personal Care Stores,Food (Health) Supplement Stores,446191,33.755766,-84.389894,Atlanta,GA,"{ ""Mon"": [[""7:00"", ""18:00""]], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""8:00"", ""16:00""]], ""Sun"": [[""8:00"", ""16:00""]] }",,,,2019-07
